name,address,Crypto API,Crypto Task,Scheme,balance,compiler,txcount2
ASMAIFAAllStarsCharacter,0x96bE46c50E882dbd373081d08E0CDE2B055Adf6c,sha3;ecrecover;,Signature,ecdsa+sha3,0 Ether,0.8.4,5
MerkleDistributor,0xc1339cf4c27d29b5Bd1fAa90739Ad1E2d4A8B9cb,sha3;,Commitment(Vector),sha3,"3,056.705 Ether",0.6.11,11
AdultFantasySeasonOne,0x4e00fD9dBa5Fa7F870314625Fda4C3e8749134dc,sha3;ecrecover;,Signature,ecdsa+sha3,0 Ether,0.8.9,5
MyCryptoChampCore,0xa44e464b13280340904ffef0a65b8a0033460430,sha3;,Random Number Generator,sha3,0.15723783 Ether,v0.4.23,214
ActionMiningPlat,0x5d8cad8836a8fa73ab202249cb7bfce296876e00,sha3;,Random Number Generator,sha3,0 Ether,v0.4.21,3155
ChibiFighters,0x71c118b00759b0851785642541ceb0f4ceea0bd5,sha3;,Random Number Generator,sha3,1.785165 Ether,v0.4.23,4717
EOSBetDice,0xb533ff572f5e33d04d02b149e7dcfe980e424c63,sha3;ecrecover;sha2-256;,Random Number Generator,sha3,0 Ether,v0.4.21,1391
EOSBetDice,0xb533ff572f5e33d04d02b149e7dcfe980e424c63,sha3;ecrecover;sha2-256;,Signature,ecdsa+sha2-256,0 Ether,v0.4.21,1391
EOSBetDice,0xb533ff572f5e33d04d02b149e7dcfe980e424c63,sha3;ecrecover;sha2-256;,Commitment(Single Value),sha3,0 Ether,v0.4.21,1391
EtherbotsCore,0xd2f81cd7a20d60c0d558496c7169a20968389b40,sha3;,Solidity(Selector),sha3,0 Ether,v0.4.20,54579
EtherbotsCore,0xd2f81cd7a20d60c0d558496c7169a20968389b40,sha3;,Random Number Generator,sha3,0 Ether,v0.4.20,54579
EdgelessCasino,0x15f08079310e2c9dacaa73c0e450368185724aea,sha3;ecrecover;,Signature,ecdsa+sha3,0 Ether,v0.4.19,3904
SecondPriceAuction,0x54a2d42a40F51259DedD1978F6c118a0f0Eff078,ecrecover;,Signature,ecdsa+sha3,0 Ether,v0.4.17,7465
DSPrice,0xd0e900c153225517739b0df07a00de2e76e263cb,sha3;,Solidity(Selector),sha3,0 Ether,v0.4.15,535
TokenStore,0x1cE7AE555139c5EF5A57CC8d814a867ee6Ee33D8,sha3;ecrecover;sha2-256;,Signature,ecdsa+sha3+sha256,708.862851347655019282 Ether,v0.4.13,236067
NumeraireBackend,0x1776e1f26f98b1a5df9cd347953a26dd3cb46671,sha3;,Message Digest,sha3,1.621780975478902616 Ether,v0.4.11,122412
CompetitionStore,0x5f742383b6d1298980030d6af943b76cdd902143,sha3;,Random Number Generator,sha3,0.020000000000000346 Ether,v0.4.4,12742
Dice2Win,0xd1ceeeefa68a6af0a5f6046132d986066c7f9426,sha3;ecrecover;,Signature,ecdsa+sha3,111.441860668862895832 Ether,v0.4.24,249739
CryptoMiningWar,0x0de197dc289d680e734ccab866d529505b2638db,sha3;,Commitment(Vector),sha3,0.369746817759408182 Ether,v0.4.24,7811
DiceGame,0x84b7d95165328d790a34cc5d7ecf528be55c65ed,sha3;ecrecover;,Signature,ecdsa+sha3,116.541123098823154026 Ether,v0.4.25,1439
Lottery,0x101f62fb0bd47814c0bcd1e2499909adac5008c0,sha3;,Random Number Generator,sha3,0 Ether,v0.4.24,26059
MerkleRedeem,0xdbc3088Dfebc3cc6A84B0271DaDe2696DB00Af38,sha3;,Commitment(Vector),sha3,0 Ether,0.6.8,1
POWNFT,0x1b12fff8ed2e38177e57c80af84f9df95a946d3b,sha3;,Message Digest,sha3,0.816 Ether,0.8.0,282
POWNFTv3,0x9abb7bddc43fa67c76a62d8c016513827f59be1b,sha3;,Message Digest,sha3,188.74998 Ether,0.8.0,6821
StakingPools,0x37c7C2ae51E968CEfB82cFF2102727256D36D6eE,sha3;,Solidity(Selector),sha3,0 Ether,0.7.6,613
InstaTokenDelegate,0x31de2088f38ed7F8a4231dE03973814edA1f8773,sha3;ecrecover;,Signature,ecdsa+sha3,0 Ether,0.7.3,1
ETHTosDisTransit,0x3C5Eb624e578D368190642Adfb2C06e829584C9f,sha3;ecrecover;,Signature,ecdsa+sha3,0 Ether,0.6.12,190
KappaToken,0x5d2c6545d16e3f927a25b4567e39e2cf5076bef4,sha3;,Solidity(Selector),sha3,0 Ether,0.5.5,0
ForthClaim,0xF497b83CfBd31E7Ba1Ab646F3B50aE0aF52d03A1,sha3;,Commitment(Vector),sha3,0 Ether,0.6.11,10
LogOfClaimedMEVBlocks,0xccccccccab8785b30f5d4ceafa0f3cbd1edaa58f,sha3;ecrecover;,Signature,ecdsa+sha3,34.241649283189686312 Ether,0.7.6,6
Peggy,0xc735478ef7562ecc37662fc7c5e521eb835f9dab,sha3;ecrecover;,Signature,ecdsa+sha3,0 Ether,0.6.12,7
MerkleDistributor,0x70508dd819635a58babbae1362bc83c41a569a03,sha3;,Commitment(Vector),sha3,0 Ether,0.6.12,231
